Ring,Tree,CO2-trt,Classif,Coord1-N,Coord2-E,Height082016,DBH01082016,Radius_N-S,Radius_E-W
1,107,elevated,Codominant,1.9,3.75,15.28,17.12,2.15,3.64
1,111,elevated,Dominant,8.75,4.4,25.51,36.86,NA,NA
1,116,elevated,Dominant,5.75,-7.5,24.84,36.25,4.93,3.82
1,118,elevated,Codominant,4.15,-10.25,24.04,24.3,NA,NA
1,119,elevated,Codominant,1.05,-11.3,23.9,29.55,4.03,3.85
1,122,elevated,Dominant,-3.2,-3.65,24.2,34.98,4.23,5.13
2,201,ambient,Codominant,-9.3,3.7,19.98,21.94,2.21,2.48
2,202,ambient,Codominant,-9.5,5.7,20.8,26.94,NA,NA
2,207,ambient,Dominant,-0.9,6.6,20.1,30.52,3.85,3.88
2,208,ambient,Codominant,2.05,1.4,19.7,26.55,NA,NA
2,209,ambient,Dominant,5.8,4.6,24,59.8,5.7,7.35
2,214,ambient,Codominant,10.25,-2.4,20.95,24.45,NA,NA
2,225,ambient,Codominant,-4.1,-4.25,19.33,25.3,3.34,3.9
3,301,ambient,Dominant,-10,3,20.79,34.57,NA,NA
3,302,ambient,Dominant,-5.7,0.2,19.7,31.41,5.11,5.38
3,309,ambient,Codominant,5.4,9.25,18.5,25.1,2.1,3.7
3,316,ambient,Codominant,11.45,-4.75,18,25.14,2.25,3.4
3,320,ambient,Dominant,0.4,-6.3,21.29,30.71,4.81,3.69
3,321,ambient,Dominant,-4.9,-5.1,21.07,29.9,NA,NA
3,324,ambient,Dominant,-8.7,-8.6,21.7,38.42,NA,NA
4,403,elevated,Dominant,-7.9,3.95,16.8,23.21,3.21,2.71
4,408,elevated,Dominant,-0.3,3.1,18.7,30.47,3.97,3.17
4,415,elevated,Codominant,10.9,-2.8,16.35,16.33,1.45,1.38
4,417,elevated,Dominant,9.3,-4.75,19.33,26.38,NA,NA
4,422,elevated,Codominant,-0.15,-7.05,19.27,22.45,3.78,3.3
4,423,elevated,Codominant,-1.5,-9.4,19.52,22.98,NA,NA
4,424,elevated,Dominant,-1.6,-10.65,20.55,26.46,NA,NA
5,501,elevated,Dominant,-6.95,1.4,22.65,29.77,2.94,2.54
5,502,elevated,Dominant,-5.5,7,21.97,31.04,3.55,2.25
5,504,elevated,Codominant,-2.6,11.85,22.6,25.8,NA,NA
5,509,elevated,Codominant,4.35,10.7,22.18,30.81,NA,NA
5,511,elevated,Codominant,6.8,9,23.25,27.44,4.22,4.44
5,525,elevated,Dominant,2.7,-10.9,22.5,28.24,NA,NA
5,526,elevated,Codominant,0.8,-10.4,21.45,21.45,2.89,2.51
5,530,elevated,Dominant,-7.1,-3.6,19.5,26.6,NA,NA
6,603,ambient,Dominant,-8.4,0.8,23.3,55.99,5.59,6.02
6,607,ambient,Dominant,0.3,7.2,21.2,46.2,4.45,4.85
6,610,ambient,Codominant,6.9,9.25,21.25,26.71,2.56,2.39
6,612,ambient,Dominant,9.6,4.3,20.55,32.9,NA,NA
6,613,ambient,Codominant,9.1,-7.4,18,20.09,NA,NA
6,614,ambient,Dominant,6.45,-8.45,22.05,36.12,NA,NA
6,618,ambient,Codominant,1,-9.4,19.8,22.29,2.8,2.54
6,620,ambient,Codominant,-5.6,-3.65,NA,23.45,NA,NA
